tag,category,implications
big_breasts,103,breasts
big_bulge,103,bulge
big_butt,103,butt
big_cheeks,103,
big_clitoris,103,clitoris
big_diaper,105,diaper
big_dildo,100,dildo
big_dom_small_sub,106,dominant size_difference
big_ears,103,
big_eyes,103,
big_fangs,103,fangs
big_feet,103,feet
big_flare,103,flared_penis
big_hair,103,hair
big_hands,103,
big_head,103,
big_horn,103,horn
big_knot,103,knot
big_macintosh_(mlp),4,friendship_is_magic
big_man_(splatoon),4,
big_moobs,103,moobs
big_muscles,103,muscular
big_nipples,103,nipples
big_nose,103,
big_pecs,103,pecs
big_penetration,101,penetration
big_penis,103,penis
big_pussy,103,vulva
big_sheath,103,sheath
big_tail,103,tail
big_teats,103,teats
big_the_cat,4,
big_tongue,103,tongue
big_wings,103,wings
bighorn_sheep,5,sheep
bikini,100,two-piece_swimsuit
bikini_aside,100,bikini swimwear_aside
bikini_bottom,100,bikini
bikini_thong,100,bikini_bottom
bikini_top,100,bikini
bill_(beastars),4,
bimbofication,105,
binder_(restraint),105,restraints
bingo_heeler,4,bluey_(series)
bioluminescence,103,glowing
biomechanical,5,
biped,103,
bird,5,avian
bird's-eye_view,109,high-angle_view
bird_dog,5,hunting_dog
bird_humanoid,5,avian_humanoid bird
birdo,5,
birth,105,
birthday,108,
birthday_cake,100,cake
bisexual,106,male/female
bisexual_pride_colors,110,pride_colors
bison,5,bovine
bit_gag,105,gag
bitchsuit,100,bondage_gear
bite,101,
bite_mark,103,
biting_lip,101,bite
biting_own_lip,101,biting_lip self_bite
biyomon,5,digimon_(species)
black-backed_jackal,5,jackal
black_and_white,7,monochrome
black_anus,102,anus
black_areola,102,areola
black_arms,102,
black_armwear,100,armwear black_clothing
black_background,107,simple_background
black_balls,102,balls black_genitals
black_bars,102,
black_beak,102,beak
black_bear,5,ursine
black_belt,100,belt
black_bikini,100,bikini black_swimwear
black_body,102,
black_bodysuit,100,black_skinsuit bodysuit
black_boots,100,black_footwear boots
black_border,110,border
black_bottomwear,100,black_clothing bottomwear
black_bow,100,bow_(feature)
black_bra,100,black_underwear bra
black_breasts,102,breasts
black_choker,100,choker
black_claws,102,claws
black_clothing,100,clothing
black_collar,105,collar
black_dress,100,black_clothing dress
black_ear_tips,102,dipstick_ears
black_ears,102,
black_elbow_gloves,100,black_armwear black_gloves elbow_gloves
black_eyebrows,102,eyebrows
black_eyes,102,
black_eyeshadow,100,black_makeup eyeshadow
black_eyewear,100,eyewear
black_facial_hair,102,facial_hair
black_feathers,102,black_body feathers
black_feet,102,feet
black_fingerless_gloves,100,black_gloves fingerless_gloves
black_footwear,100,black_clothing footwear
black_fur,102,black_body fur
black_genitals,102,genitals
black_glans,102,glans
black_glasses,100,black_eyewear glasses
black_gloves,100,black_clothing gloves
black_hair,102,hair
black_hands,102,
black_hat,100,black_headwear hat
black_headwear,100,black_clothing headwear
black_high_heels,100,black_footwear high_heels
black_highlights,102,highlights_(coloring)
black_hoodie,100,black_topwear hoodie
black_horn,102,horn
black_inner_ear,102,
black_jacket,100,black_topwear jacket
black_latex,105,latex
black_legs,102,
black_legwear,100,black_clothing legwear
black_leotard,102,black_clothing leotard
black_lips,102,lips
black_lipstick,100,black_makeup lipstick
black_makeup,100,makeup
black_mane,102,mane
black_markings,102,markings
black_nails,102,colored_nails
black_necktie,100,necktie
black_nipples,102,nipples
black_nose,102,
black_panties,100,black_underwear panties
black_pants,100,black_bottomwear pants
black_pawpads,102,pawpads
black_paws,102,paws
black_penis,102,black_genitals penis
black_pubes,102,pubes
black_scales,102,black_body scales
black_sclera,102,
black_sheath,102,black_genitals sheath
black_shirt,100,black_topwear shirt
black_shoes,100,black_footwear shoes
black_shorts,100,black_bottomwear shorts
black_skin,102,black_body
black_skinsuit,100,black_clothing skinsuit
black_skirt,100,black_bottomwear skirt
black_socks,100,black_footwear socks
black_spots,102,spots
black_stockings,100,black_legwear stockings
black_stripes,102,stripes
black_suit,100,black_clothing suit
black_swimwear,100,black_clothing swimwear
black_tail,102,tail
black_tail_tip,102,dipstick_tail
black_text,110,text
black_thigh_highs,100,black_legwear thigh_highs
